LOCATEID,FIPSCOUNTY,POOLSIZE,ISPOS,LOGITUDE,LATITUDE,WEEK_NEW,UNIQ_ID
on,COOK,50,0,-87.79174,41.90527,19,De_018_dv33
on,COOK,50,0,-87.79174,41.90527,19,De_018_dv34
op,COOK,33,0,-87.78848,41.8713,19,De_018_dv35
rf,COOK,50,0,-87.82272,41.9058,19,De_018_dv29
rf,COOK,50,0,-87.82272,41.9058,19,De_018_dv30
rf,COOK,50,0,-87.82272,41.9058,19,De_018_dv31
RICHTON PARK,COOK,50,0,-87.712419,41.490915,19,So_069_008
rp,COOK,50,0,-87.81937,41.73735,19,De_018_dv6
rp,COOK,44,0,-87.81937,41.73735,19,De_018_dv7
su,COOK,12,0,-87.80536,41.78853,19,De_018_dv5
WCHD1,WILL,50,0,-88.04039,41.30351,19,WI_079_1501WCHD1
WCHD11,WILL,17,0,-87.883601,41.533476,19,WI_079_1511WCHD1
WCHD27,WILL,12,0,-87.68861,41.44869,19,WI_079_1527WCHD1
WCHD3,WILL,16,0,-87.58277,41.30723,19,WI_079_1503WCHD1
WCHD32,WILL,19,0,-88.002389,41.449548,19,WI_079_1524WCHD1
WCHD32,WILL,13,0,-88.002389,41.449548,19,WI_079_1532WCHD1
we,COOK,50,0,-87.88832,41.85585,19,De_018_dv21
we,COOK,50,0,-87.88832,41.85585,19,De_018_dv22
we,COOK,50,0,-87.88832,41.85585,19,De_018_dv23
WILL 03,WILL,50,0,-88.0982,41.7273,19,ID_034_I009
WILL 03,WILL,14,0,-88.0982,41.7273,19,ID_034_I021
ws,COOK,50,0,-87.88511,41.73975,19,De_018_dv8
ws,COOK,36,0,-87.88511,41.73975,19,De_018_dv9
34,WILL,14,0,-88.041474,41.304663,20,WI_079_1534WCHD2
106,DUPAGE,50,0,-88.164476,41.969188,20,DU_019_C15001
109,DUPAGE,50,0,-88.24924,41.950872,20,DU_019_C15002
110,DUPAGE,39,0,-88.1743,41.9347,20,DU_019_C15003
201,DUPAGE,50,0,-88.117762,41.963811,20,DU_019_E15012
208,DUPAGE,50,0,-88.01989,41.97552,20,DU_019_E15007
301,DUPAGE,50,0,-88.0174,41.9691,20,DU_019_E15013
307,DUPAGE,50,0,-87.9501,41.9157,20,DU_019_E15009
309,DUPAGE,50,0,-87.9994,41.9198,20,DU_019_E15008
400,DUPAGE,50,0,-88.181875,41.864012,20,DU_019_C15004
401,DUPAGE,29,0,-88.209927,41.890016,20,DU_019_C15005
406,DUPAGE,50,0,-88.18793,41.82422,20,DU_019_C15006
407,DUPAGE,31,0,-88.1522,41.8604,20,DU_019_C15007
501,DUPAGE,50,0,-88.116694,41.872809,20,DU_019_C15008
503,DUPAGE,50,0,-88.143233,41.845244,20,DU_019_C15009
506,DUPAGE,50,0,-88.087311,41.814018,20,DU_019_SE15016
511,DUPAGE,50,0,-88.0537,41.8867,20,DU_019_SE15015
512,DUPAGE,23,0,-88.1023,41.8404,20,DU_019_C15010
513,DUPAGE,23,0,-88.128046,41.9008,20,DU_019_C15011
516,DUPAGE,19,0,-88.127003,41.932635,20,DU_019_C15012
609,DUPAGE,14,0,-87.97725,41.87746,20,DU_019_E15010
610,DUPAGE,50,0,-88.007449,41.906584,20,DU_019_E15011
704,DUPAGE,50,0,-88.30694,41.7665,20,DU_019_C15013
707,DUPAGE,50,0,-88.111,41.8028,20,DU_019_C15014
801,DUPAGE,50,0,-88.11702,41.738563,20,DU_019_C15015
802,DUPAGE,50,0,-88.087313,41.773075,20,DU_019_SE15019
808,DUPAGE,50,0,-88.0618,41.7579,20,DU_019_SE15017
901,DUPAGE,50,0,-88.0167,41.7926,20,DU_019_SE15020
902,DUPAGE,50,0,-87.9612,41.7866,20,DU_019_SE15013
904,DUPAGE,50,0,-999,-999,20,DU_019_SE15018
907,DUPAGE,50,0,-87.9228,41.8064,20,DU_019_SE15011
909,DUPAGE,50,0,-87.9256,41.7584,20,DU_019_SE15012
910,DUPAGE,50,0,-87.9818,41.8148,20,DU_019_SE15014
12 - HOLY CROSS CEM.,COOK,50,0,-87.546317,41.608167,20,So_069_010
14- SKYLINE POOL,COOK,50,0,-87.633033,41.542983,20,So_069_009
14- SKYLINE POOL,COOK,21,0,-87.633033,41.542983,20,So_069_014
19- OLYMPIA FIELDS,COOK,50,0,-87.703217,41.519033,20,So_069_007
19- OLYMPIA FIELDS,COOK,50,0,-87.703217,41.519033,20,So_069_013
2015EV-01,COOK,7,0,-87.6862,42.0641,20,EV_024_2
2015EV-01,COOK,13,0,-87.6862,42.0641,20,EV_024_11
2015EV-02,COOK,5,0,-87.725,42.0678,20,EV_024_12
2015EV-03,COOK,8,0,-87.7042,42.0264,20,EV_024_3
2015EV-03,COOK,8,0,-87.7042,42.0264,20,EV_024_13
28- MT HOPE CEM,COOK,50,0,-87.690627,41.677762,20,So_069_001
2-CHILDRENS FARM,COOK,50,0,-87.8371,41.65675,20,So_069_003
2-CHILDRENS FARM,COOK,30,0,-87.8371,41.65675,20,So_069_011
3-LRSH,COOK,50,0,-87.876167,41.709833,20,So_069_004
4-WESTERN,COOK,40,0,-87.886033,41.627883,20,So_069_002
6-SOUTHERN,COOK,50,0,-87.616883,41.481883,20,So_069_006
6-SOUTHERN,COOK,41,0,-87.616883,41.481883,20,So_069_012
9 - LAHON,COOK,50,0,-87.606317,41.483933,20,So_069_005
br,COOK,50,0,-87.83992,41.83077,20,De_018_dv53
br,COOK,50,0,-87.83992,41.83077,20,De_018_dv54
br,COOK,49,0,-87.83992,41.83077,20,De_018_dv55
bv,COOK,28,0,-87.866029,41.86918,20,De_018_dv57
by,COOK,50,0,-87.90625,41.88705,20,De_018_dv58
by,COOK,45,0,-87.90625,41.88705,20,De_018_dv59
fp,COOK,50,0,-87.82575,41.8755,20,De_018_dv67
fp,COOK,7,0,-87.82575,41.8755,20,De_018_dv68
hk,COOK,44,0,-87.85477,41.76822,20,De_018_dv49
IDPH 05,COOK,50,0,-87.79447,41.94516,20,ID_034_I032
IDPH 05,COOK,50,0,-87.79447,41.94516,20,ID_034_I044
IDPH 101,COOK,27,0,-87.7537,41.6995,20,ID_034_I023
IDPH 101,COOK,50,1,-87.7537,41.6995,20,ID_034_I035
IDPH 102,COOK,7,0,-87.6953,41.7163,20,ID_034_I024
IDPH 102,COOK,50,0,-87.6953,41.7163,20,ID_034_I036
IDPH 103,COOK,12,0,-87.7177,41.7206,20,ID_034_I025
IDPH 103,COOK,50,0,-87.7177,41.7206,20,ID_034_I037
IDPH 104,DUPAGE,41,0,-87.9896,41.8732,20,ID_034_I026
IDPH 104,DUPAGE,50,0,-87.9896,41.8732,20,ID_034_I038
IDPH 105,COOK,19,0,-87.7602,41.7151,20,ID_034_I027
IDPH 105,COOK,50,0,-87.7602,41.7151,20,ID_034_I039
IDPH 106,DUPAGE,50,0,-88.0367,41.8061,20,ID_034_I028
IDPH 106,DUPAGE,50,0,-88.0367,41.8061,20,ID_034_I040
IDPH 109,DUPAGE,50,0,-87.9841,41.6868,20,ID_034_I029
IDPH 109,DUPAGE,50,0,-87.9841,41.6868,20,ID_034_I041
IDPH 111,COOK,21,0,-87.9976,41.6504,20,ID_034_I030
IDPH 111,COOK,50,0,-87.9976,41.6504,20,ID_034_I042
IDPH 112,COOK,50,0,-87.7022,41.7351,20,ID_034_I031
IDPH 112,COOK,50,0,-87.7022,41.7351,20,ID_034_I043
KENDALL03,KENDALL,50,0,-88.2787,41.7137,20,ID_034_I034
KENDALL03,KENDALL,27,0,-88.2787,41.7137,20,ID_034_I046
lg,COOK,50,0,-87.86581,41.81025,20,De_018_dv41
lg,COOK,50,0,-87.86581,41.81025,20,De_018_dv50
lg,COOK,20,0,-87.86581,41.81025,20,De_018_dv51
lh,COOK,45,0,-87.89658,41.78742,20,De_018_dv48
lp,COOK,14,0,-87.89391,41.82378,20,De_018_dv52
mp,COOK,5,0,-87.86557,41.89633,20,De_018_dv60
NN,COOK,28,0,-87.816896,41.850487,20,De_018_dv69
NSG13,COOK,50,0,-87.821683,42.110783,20,No_060_NS0008
NSG13,COOK,50,0,-87.821683,42.110783,20,No_060_NS0009
NSG14,COOK,47,0,-87.74885,42.098383,20,No_060_NS0010
NSG2,COOK,50,0,-87.8036,42.067666,20,No_060_NS0001
NSG21,COOK,50,0,-87.751133,42.076717,20,No_060_NS0011
NSG22,COOK,50,0,-87.789667,42.04255,20,No_060_NS0012
NSG22,COOK,50,0,-87.789667,42.04255,20,No_060_NS0013
NSG25,COOK,50,0,-87.716083,42.085583,20,No_060_NS0014
